 ,Area,X,Y,Perim.
304,47,3620.926,3859.585,27.799
305,203,3273.707,3879.333,61.255
306,35,3134.814,3885.471,24.385
307,24,3192.375,3885.833,16.728
308,303,3339.424,3905.450,77.740
309,24,3322.542,3905.583,18.728
310,51,3707.559,3915.755,31.799
311,3,1843.167,3917.833,5.657
312,99,2668.803,3934.662,37.799
313,1,3743.500,3937.500,2.828
314,2,3742.000,3943.000,5.657
315,118,3652.263,3959.153,43.456
316,2,3485.500,3952.000,4.828
317,1,1882.500,3954.500,2.828
318,2,3486.000,3954.500,4.243
319,14,2610.214,3967.143,16.728
320,324,2354.207,3982.843,68.527
321,4,3557.750,3983.500,7.657
322,47,3557.287,3991.117,28.385
323,4,3482.750,4007.000,8.485
324,5,3482.500,4010.300,8.485
325,94,3400.266,4017.511,41.456
326,21,3432.976,4013.595,20.142
327,1,3428.500,4021.500,2.828
328,16,3483.375,4022.875,15.899
